Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2021-03-31,0.5070895619922801,0.5968363415128777,0.48895425002576764,0.6420186237212765,0.5070895619922802,0.34855911320302435,2021-03-31
2021-04-01,0.5158244483879305,0.6043398904887445,0.49573003228056745,0.6567258559670363,0.5158244483879304,0.34020916071306484,2021-04-01
2021-04-02,0.5243661943196373,0.6104238491178258,0.5018829086270228,0.674401052556427,0.5243661943196376,0.33135845570405653,2021-04-02
2021-04-03,0.5321774917298124,0.618535793956601,0.5093771986561962,0.6776851917957714,0.5321774917298128,0.3249815255451949,2021-04-03
2021-04-04,0.539972815116654,0.6252281484485902,0.5172987095241864,0.678011565881669,0.5399728151166541,0.3178138987092578,2021-04-04
2021-04-05,0.5493001925595903,0.6331372946663962,0.5257594746677462,0.6853549828143646,0.5493001925595904,0.3092910300142735,2021-04-05
2021-04-06,0.5599011353174038,0.6398296491583855,0.5335644707615136,0.7061817291707039,0.5599011353174039,0.29833271046559817,2021-04-06
2021-04-07,0.571999279716766,0.6473331981342527,0.5410632421281573,0.7395738778341,0.5719992797167661,0.2859628198372979,2021-04-07
2021-04-08,0.583351001571263,0.6542283512472116,0.5483573657503328,0.7691515293685681,0.5833510015712633,0.2744751596041597,2021-04-08
2021-04-09,0.5948769854984911,0.6613263029811396,0.5564909932585745,0.7942109396513917,0.5948769854984912,0.2630711953277771,2021-04-09
2021-04-10,0.6047213404238635,0.6688298519570064,0.5637970671140037,0.8130896406825298,0.6047213404238634,0.2543492032641852,2021-04-10
2021-04-11,0.6145831215565088,0.6759278036909349,0.5715497809372866,0.8290615725111427,0.6145831215565087,0.24549124910769793,2021-04-11
2021-04-12,0.6261323404267677,0.6848509430135872,0.5800329527681968,0.8518057666221301,0.6261323404267678,0.23564106348130887,2021-04-12
2021-04-13,0.6380097528673371,0.6927600892313932,0.5886834278646577,0.8757636643650495,0.6380097528673374,0.224944900730351,2021-04-13
2021-04-14,0.6495865632324452,0.7008720340701684,0.5964451043628808,0.9036686487092924,0.6495865632324456,0.21493005200626936,2021-04-14
2021-04-15,0.6609281197993663,0.7108091664976679,0.6051344177174157,0.9234958744275705,0.6609281197993664,0.20642271527477996,2021-04-15
2021-04-16,0.671928413140522,0.7168931251267492,0.6148663889233287,0.9340010403173988,0.6719284131405223,0.19627910187175512,2021-04-16
2021-04-17,0.6814431223116445,0.7235854796187384,0.623630391235699,0.9406509123175619,0.6814431223116444,0.18844185127559254,2021-04-17
2021-04-18,0.6904292365288157,0.7302778341107281,0.6338090024094657,0.9339296459861086,0.6904292365288158,0.1813454619450201,2021-04-18
2021-04-19,0.7017199666578567,0.73940377205435,0.645022802538827,0.9362040653972075,0.7017199666578573,0.17295542039437217,2021-04-19
2021-04-20,0.7136394924326696,0.7462989251673089,0.6553119533701898,0.9493202239742164,0.7136394924326694,0.16272606691760405,2021-04-20
2021-04-21,0.7262676839699224,0.7540052727641449,0.6648452519482614,0.9725335808336817,0.7262676839699223,0.15229134743605033,2021-04-21
2021-04-22,0.7385386382580762,0.7600892313932266,0.6751105023131169,0.9883219272389772,0.7385386382580763,0.14156048793710396,2021-04-22
2021-04-23,0.7501807969004585,0.7694179679578177,0.6853070388367642,1.0,0.7501807969004584,0.13346220657791763,2021-04-23
2021-04-24,0.760298162406443,0.7781383086595008,0.695702247988253,0.9996430283435496,0.7602981624064431,0.1268559876130646,2021-04-24
2021-04-25,0.7690606402969425,0.786250253498276,0.7066591181026615,0.9859659143064041,0.7690606402969431,0.12150446937232329,2021-04-25
2021-04-26,0.7785521145250341,0.7955789900628676,0.7184749112321737,0.971483064244699,0.7785521145250343,0.11606469565292277,2021-04-26
2021-04-27,0.7889381340598126,0.8047049280064895,0.7293974244259779,0.9693922302569176,0.7889381340598127,0.10962157499346503,2021-04-27
2021-04-28,0.7988972115163994,0.8136280673291418,0.7399315550390398,0.9669648229930543,0.7988972115163999,0.10361558595068021,2021-04-28
2021-04-29,0.8089550374808675,0.8219428107888866,0.750925769632366,0.9621202076555122,0.8089550374808676,0.09726754726184872,2021-04-29
2021-04-30,0.8182562756128943,0.8284323666599067,0.7615480332156733,0.9545932052994992,0.8182562756128942,0.09085195752017028,2021-04-30
2021-05-01,0.8257597100279109,0.835124721151896,0.7724451521638137,0.9325527553112283,0.825759710027911,0.08648000593076,2021-05-01
2021-05-02,0.8323874775274535,0.8428310687487324,0.7841847625563342,0.8985588544269585,0.832387477527454,0.08357030870530635,2021-05-02
2021-05-03,0.8397471457324671,0.8489150273778137,0.7951655331372499,0.874968127530674,0.8397471457324668,0.07911036756065726,2021-05-03
2021-05-04,0.848667911672364,0.8574325694585276,0.8059834817900852,0.8633308515303886,0.8486679116723643,0.07433818469077824,2021-05-04
2021-05-05,0.8571094569122503,0.8639221253295477,0.8168103931178606,0.8483686395300213,0.857109456912251,0.06908197479053535,2021-05-05
2021-05-06,0.8661609194066956,0.870614479821537,0.8274057686763473,0.8392607626954419,0.8661609194066955,0.06337475014268557,2021-05-06
2021-05-07,0.8745298554496107,0.8764956398296491,0.8368001457928457,0.8336002121431558,0.8745298554496108,0.05800271555279912,2021-05-07
2021-05-08,0.881221519042488,0.8844047860474546,0.8460660579018676,0.8169347353820107,0.8812215190424881,0.05533611828036311,2021-05-08
2021-05-09,0.8872727695180781,0.8904887446765359,0.8561386107555086,0.7903556457617265,0.8872727695180784,0.05241649777731938,2021-05-09
2021-05-10,0.8943913751891469,0.8963699046846481,0.8654553113558584,0.7764439503503422,0.894391375189147,0.04838279445596805,2021-05-10
2021-05-11,0.9020690716768948,0.9032650577976069,0.8752559964029797,0.7631034095892786,0.9020690716768951,0.04434177510933157,2021-05-11
2021-05-12,0.9088449619382589,0.9075238288379639,0.883347798094834,0.7552296347669994,0.9088449619382588,0.03991729177442016,2021-05-12
2021-05-13,0.9153972158729512,0.9132021902251064,0.8908809263820817,0.7495282874539761,0.9153972158729513,0.03643036631781604,2021-05-13
2021-05-14,0.9194154088333445,0.9186777529912797,0.8994985383370951,0.7186349403857334,0.9194154088333446,0.03527031703106909,2021-05-14
2021-05-15,0.9224040033806841,0.9227337254106671,0.9072960655350791,0.6861811172192928,0.9224040033806844,0.03440317248819835,2021-05-15
2021-05-16,0.9259705671359156,0.9276008923139321,0.9156970795123706,0.6536253021510092,0.9259705671359162,0.03338534875430055,2021-05-16
2021-05-17,0.9311287244887586,0.9359156357736764,0.923833694578926,0.6338796699542056,0.9311287244887587,0.03253398725920409,2021-05-17
2021-05-18,0.9369708604770713,0.9428107888866353,0.9330921377921645,0.6113496588370884,0.9369708604770715,0.030368438382601726,2021-05-18
2021-05-19,0.9436639762538882,0.9509227337254105,0.9406954736997771,0.6060358807510684,0.9436639762538881,0.028007356075970158,2021-05-19
2021-05-20,0.9503149786964616,0.9576150882174002,0.948779806495848,0.5972135812416494,0.9503149786964613,0.025029689037141534,2021-05-20
2021-05-21,0.9566421441205429,0.9647130399513282,0.9557094480037881,0.5939804379532265,0.9566421441205428,0.022564966931699848,2021-05-21
2021-05-22,0.9619498764191466,0.9689718109916852,0.96284672481451,0.582312564382388,0.9619498764191472,0.01971170960574775,2021-05-22
2021-05-23,0.9674551057335127,0.9754613668627052,0.9703738779851309,0.5692576009464848,0.967455105733513,0.01774559689969446,2021-05-23
2021-05-24,0.97341196425304,0.9803285337659702,0.9774977107834423,0.562209960529134,0.9734119642530408,0.014622849737282229,2021-05-24
2021-05-25,0.9805828485459281,0.9858040965321435,0.9838895917949698,0.5686558487256111,0.9805828485459285,0.010713583919024217,2021-05-25
2021-05-26,0.9874342523721423,0.9910768606773472,0.9887428802750943,0.5833732801615552,0.9874342523721422,0.007028130832682056,2021-05-26
2021-05-27,0.994130272516838,0.9955384303386734,0.9948061298721474,0.5887788509592338,0.9941302725168382,0.0031344108421771377,2021-05-27
2021-05-28,0.9999999999999999,1.0,0.9999999999999999,0.5943170112293084,1.0,0.0,2021-05-28
